material,method,hf_shots,run,relative_error
SMP,Proposed + gate,10,3,0.12000287092023441
SMP,Proposed + gate,10,4,0.11803047878461849
SMP,Proposed + gate,10,5,0.13737092731599215
SMP,Proposed + gate,10,6,0.12132546296353666
SMP,Proposed + gate,10,7,0.12509406397378728
SMP,Proposed + gate,10,8,0.13356326407270194
SMP,Proposed + gate,10,9,0.12115012163896369
SMP,Proposed + gate,10,10,0.1423553513303105
SMP,Proposed + gate,10,11,0.1323479151866485
SMP,Proposed + gate,10,12,0.12972289533722614
SMP,Proposed + gate,10,13,0.14512579780268947
SMP,Proposed + gate,10,14,0.13379370817032268
SMP,Proposed + gate,10,15,0.12903851217899434
SMP,Proposed + gate,20,1,0.0855388155372605
SMP,Proposed + gate,20,2,0.10591856591459664
SMP,Proposed + gate,20,3,0.0932906628037746
SMP,Proposed + gate,20,4,0.09881737735797841
SMP,Proposed + gate,20,5,0.10731478040499497
SMP,Proposed + gate,20,6,0.11495578707841243
SMP,Proposed + gate,20,7,0.10862121936137087
SMP,Proposed + gate,20,8,0.10772305676078436
SMP,Proposed + gate,20,9,0.09490912633672068
SMP,Proposed + gate,20,10,0.1069658882392184
SMP,Proposed + gate,20,11,0.10859560716222759
SMP,Proposed + gate,20,12,0.09721893193032533
SMP,Proposed + gate,20,13,0.1013095796097921
SMP,Proposed + gate,20,14,0.09778517524975518
SMP,Proposed + gate,20,15,0.11321732938871737
Hydrogel,From scratch,0,1,0.42
Hydrogel,From scratch,0,2,0.42
Hydrogel,From scratch,0,3,0.42
Hydrogel,From scratch,0,4,0.42
Hydrogel,From scratch,0,5,0.42
Hydrogel,From scratch,0,6,0.42
Hydrogel,From scratch,0,7,0.42
Hydrogel,From scratch,0,8,0.42
Hydrogel,From scratch,0,9,0.42
Hydrogel,From scratch,0,10,0.42
Hydrogel,From scratch,0,11,0.42
Hydrogel,From scratch,0,12,0.42
Hydrogel,From scratch,0,13,0.42
Hydrogel,From scratch,0,14,0.42
Hydrogel,From scratch,0,15,0.42
Hydrogel,From scratch,5,1,0.39593748073362955
Hydrogel,From scratch,5,2,0.39098307281095457
Hydrogel,From scratch,5,3,0.3797486599298038
Hydrogel,From scratch,5,4,0.36645951124195775
Hydrogel,From scratch,5,5,0.3947450260677263
Hydrogel,From scratch,5,6,0.39827843204155594
Hydrogel,From scratch,5,7,0.3885588296595139
Hydrogel,From scratch,5,8,0.3944478236322839
Hydrogel,From scratch,5,9,0.38011243285355567
Hydrogel,From scratch,5,10,0.40025213780323593
Hydrogel,From scratch,5,11,0.3859765880640909
Hydrogel,From scratch,5,12,0.3836069268325538
Hydrogel,From scratch,5,13,0.3885317524341712
Hydrogel,From scratch,5,14,0.380166049859893
Hydrogel,From scratch,5,15,0.3855708600955679
Hydrogel,From scratch,10,1,0.32046651823229155
Hydrogel,From scratch,10,2,0.3142689865172728
Hydrogel,From scratch,10,3,0.3049336722665034
Hydrogel,From scratch,10,4,0.30832635107001805
Hydrogel,From scratch,10,5,0.3110917842637894
Hydrogel,From scratch,10,6,0.306510903647875
Hydrogel,From scratch,10,7,0.312932079860559
Hydrogel,From scratch,10,8,0.30716861118754035
Hydrogel,From scratch,10,9,0.30897704280052746
Hydrogel,From scratch,10,10,0.31660008685890917
Hydrogel,From scratch,10,11,0.3004098008978103
Hydrogel,From scratch,10,12,0.3101788032781051
Hydrogel,From scratch,10,13,0.3014790508620433
Hydrogel,From scratch,10,14,0.30768800399724816
Hydrogel,From scratch,10,15,0.3005478371455794
Hydrogel,From scratch,20,1,0.24737624645091694
Hydrogel,From scratch,20,2,0.2385475819048791
Hydrogel,From scratch,20,3,0.25483020860659245
Hydrogel,From scratch,20,4,0.2593335239842689
Hydrogel,From scratch,20,5,0.24056653111640544
Hydrogel,From scratch,20,6,0.23693595611110177
Hydrogel,From scratch,20,7,0.248574652647751
Hydrogel,From scratch,20,8,0.2475162323910113
Hydrogel,From scratch,20,9,0.2304650307973008
Hydrogel,From scratch,20,10,0.23125443521149947
Hydrogel,From scratch,20,11,0.2610831734296898
Hydrogel,From scratch,20,12,0.24320793352220868
Hydrogel,From scratch,20,13,0.2723050381619351
Hydrogel,From scratch,20,14,0.24661637375931256
Hydrogel,From scratch,20,15,0.25013303543905885
Hydrogel,Direct fine-tuning,0,1,0.3891156602011454
Hydrogel,Direct fine-tuning,0,2,0.3706951091276442
Hydrogel,Direct fine-tuning,0,3,0.3883738884793577
Hydrogel,Direct fine-tuning,0,4,0.41265299322267013
Hydrogel,Direct fine-tuning,0,5,0.41494552879442703
